Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
PP012	63784594	63784594	14.77	5712820.0										
PP012_R1					66.89948225426744	49.0	85.96403119206934	27.27272727272727	38689578.0					
PP012_R2					63.161219034428925	50.0	86.11430277166632	36.36363636363637	38689578.0					
PP012_libComplexityPicard										0.637835				
PP012_sorted											99	154.17931		
PP012_sorted_q10	11420894	11420894								0.744384				
PP012_sorted_q10_mrkDup	11420894	11420894											79.20901813815976	4523189
PP012_sorted_q10_rmDup	2919364	2919364											74.95927195101399	1094167
PP015	37626840	37626840	25.13	8198960.0										
PP015_R1					80.45798327696119	48.0	85.45251523059478	27.27272727272727	32623808.0					
PP015_R2					76.34941820656096	49.0	85.66955463936031	36.36363636363637	32623808.0					
PP015_libComplexityPicard										0.819947				
PP015_sorted											164	222.045327		
PP015_sorted_q10	16394598	16394598								0.907718				
PP015_sorted_q10_mrkDup	16394598	16394598											75.53451447848859	6191790
PP015_sorted_q10_rmDup	1512932	1512932											65.61206980882154	496333
PP016	67422922	67422922	26.49	8606786.0										
PP016_R1					65.55810277276066	49.0	80.97913248968712	27.27272727272727	32488974.0					
PP016_R2					61.863499354234705	50.0	81.33421609435865	36.36363636363637	32488974.0					
PP016_libComplexityPicard										0.652761				
PP016_sorted											107	160.005709		
PP016_sorted_q10	17204982	17204982								0.779763				
PP016_sorted_q10_mrkDup	17204982	17204982											77.02458508820294	6626033
PP016_sorted_q10_rmDup	3789176	3789176											67.97282575420091	1287805
PP017	72238178	72238178	19.35	7248188.0										
PP017_R1					67.1904988196261	45.0	88.05972515050703	45.45454545454545	37465523.0					
PP017_R2					65.22590859055637	46.0	88.16619108720303	36.36363636363637	37465523.0					
PP017_libComplexityPicard										0.637628				
PP017_sorted											93	128.600837		
PP017_sorted_q10	14490888	14490888								0.748793				
PP017_sorted_q10_mrkDup	14490888	14490888											58.79220100245064	4259756
PP017_sorted_q10_rmDup	3640206	3640206											49.85542027017152	907420
PP018	42585196	42585196	10.55	4076505.0										
PP018_R1					67.22960596133325	47.0	88.04398687081955	36.36363636363637	38626935.0					
PP018_R2					63.85194449016829	48.0	88.15002867817496	36.36363636363637	38626935.0					
PP018_libComplexityPicard										0.641357				
PP018_sorted											91	124.306594		
PP018_sorted_q10	8148406	8148406								0.731108				
PP018_sorted_q10_mrkDup	8148406	8148406											43.92616175482665	1789641
PP018_sorted_q10_rmDup	2191042	2191042											39.48559635095996	432573
PP019	33269801	33269801	14.99	5756394.0										
PP019_R1					31.292170482559868	50.0	86.15496553649038	18.181818181818183	38396989.0					
PP019_R2					14.775889282637294	51.0	86.21624976895974	27.27272727272727	38396989.0					
PP019_libComplexityPicard										0.505256				
PP019_sorted											121	144.869134		
PP019_sorted_q10	11509382	11509382								0.646563				
PP019_sorted_q10_mrkDup	11509382	11509382											63.16062843339459	3634699
PP019_sorted_q10_rmDup	4067838	4067838											52.89969757891046	1075937
PP020	55354758	55354758	17.84	6494810.0										
PP020_R1					28.313553362969586	51.0	83.16791879723844	18.181818181818183	36413934.0					
PP020_R2					15.992599936336276	51.0	83.34621631378802	27.27272727272727	36413934.0					
PP020_libComplexityPicard										0.531365				
PP020_sorted											113	146.927312		
PP020_sorted_q10	12984394	12984394								0.653429				
PP020_sorted_q10_mrkDup	12984394	12984394											67.06520150266543	4354005
PP020_sorted_q10_rmDup	4500014	4500014											60.173857236888594	1353916
PP026	22750081	22750081	9.05	3823991.0										
PP026_R1					72.67300250069482	49.0	95.39473716952789	27.27272727272727	42275958.0					
PP026_R2					69.77536632248624	50.0	95.26908305661577	36.36363636363637	42275958.0					
PP026_libComplexityPicard										0.588961				
PP026_sorted											137	172.307191		
PP026_sorted_q10	7646672	7646672								0.724807				
PP026_sorted_q10_mrkDup	7646672	7646672											75.86450680766744	2900555
PP026_sorted_q10_rmDup	2104314	2104314											69.53791116724976	731648
PP027	80496318	80496318	51.23	18900224.0										
PP027_R1					74.67205229833615	47.0	94.85791228287955	27.27272727272727	36895420.0					
PP027_R2					71.08969381590467	49.0	94.84942770674517	36.36363636363637	36895420.0					
PP027_libComplexityPicard										0.680954				
PP027_sorted											182	283.162719		
PP027_sorted_q10	37794284	37794284								0.798598				
PP027_sorted_q10_mrkDup	37794284	37794284											76.61073827989439	14477240
PP027_sorted_q10_rmDup	7611854	7611854											72.12857734791025	2745161
PP029	44779699	44779699	15.0	4853551.0										
PP029_R1					61.355393515966725	49.0	82.305222999162	18.181818181818183	32350570.0					
PP029_R2					58.31889786554167	50.0	82.51461176727334	36.36363636363637	32350570.0					
PP029_libComplexityPicard										0.600401				
PP029_sorted											91	162.149152		
PP029_sorted_q10	9702388	9702388								0.711944				
PP029_sorted_q10_mrkDup	9702388	9702388											77.28217012141752	3749108
PP029_sorted_q10_rmDup	2794828	2794828											71.57699865608903	1000227
PP031	113986400	113986400	30.35	11813251.0										
PP031_R1					76.54477727108126	42.0	86.87016733895395	36.36363636363637	38924828.0					
PP031_R2					70.8778699229994	43.0	87.09520468529752	36.36363636363637	38924828.0					
PP031_libComplexityPicard										0.696055				
PP031_sorted											90	143.525815		
PP031_sorted_q10	23615198	23615198								0.786735				
PP031_sorted_q10_mrkDup	23615198	23615198											60.14858736310404	7102104
PP031_sorted_q10_rmDup	5036306	5036306											53.72731521873373	1352936
PP032	26860958	26860958	14.97	5127405.0										
PP032_R1					58.54761637880815	50.0	84.29395089297644	18.181818181818183	34242393.0					
PP032_R2					54.09072273492805	51.0	84.44433582664622	36.36363636363637	34242393.0					
PP032_libComplexityPicard										0.499236				
PP032_sorted											122	160.732601		
PP032_sorted_q10	10250990	10250990								0.681399				
PP032_sorted_q10_mrkDup	10250990	10250990											78.71860181309317	4034718
PP032_sorted_q10_rmDup	3265980	3265980											69.87911744713685	1141119
