Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RSQ_076	59050697.0	296.0	45336976.0	76.78	291.33	54751829.0	54535895.0	53992032.0	376456.0	40255.0	343086.0	0.48	0.02	1.62	0.02	1.44	4286289.0	7.26	237852.0	0.4	0.0	11.49	4.07	0	6785879	2403701
RSQ_076__STARpass1	59050697.0	296.0	45561218.0	77.16	291.41	53692154.0	52719898.0	53009300.0	357942.0	40121.0	284791.0	0.48	0.02	1.62	0.02	1.43	4151226.0	7.03	249846.0	0.42	0.0	14.6	0.79	0	8621881	466526
RSQ_077	50483279.0	296.0	41419727.0	82.05	288.34	40290820.0	40104358.0	39728834.0	286852.0	26751.0	248383.0	0.54	0.02	1.69	0.01	1.31	2301402.0	4.56	63529.0	0.13	0.0	13.09	0.18	0	6607758	90863
RSQ_077__STARpass1	50483279.0	296.0	41861963.0	82.92	288.36	39820013.0	38522965.0	39326535.0	245603.0	26275.0	221600.0	0.54	0.02	1.68	0.01	1.3	1871811.0	3.71	54940.0	0.11	0.0	13.01	0.26	0	6563398	131167
RSQ_078	47183424.0	289.0	36503044.0	77.36	288.77	31547914.0	31335978.0	31003114.0	251607.0	24879.0	268314.0	0.46	0.02	1.56	0.01	1.29	4179538.0	8.86	209962.0	0.44	0.0	12.94	0.39	0	6106826	184054
RSQ_078__STARpass1	47183424.0	289.0	37050205.0	78.52	288.85	30921085.0	29937902.0	30469028.0	196577.0	23904.0	231576.0	0.46	0.02	1.56	0.02	1.26	3827015.0	8.11	215057.0	0.46	0.0	12.51	0.4	0	5902421	188726
RSQ_132	41201097.0	291.0	34097358.0	82.76	286.52	26668846.0	26497172.0	26263576.0	187361.0	18693.0	199216.0	0.43	0.03	1.51	0.02	1.29	2952316.0	7.17	151699.0	0.37	0.0	9.5	0.2	0	3917255	82469
RSQ_132__STARpass1	41201097.0	291.0	34470837.0	83.66	286.74	24652231.0	23791661.0	24311087.0	156363.0	17135.0	167646.0	0.43	0.03	1.51	0.02	1.26	2620726.0	6.36	159778.0	0.39	0.0	9.31	0.28	0	3834435	115321
RSQ_134	52633196.0	286.0	33483262.0	63.62	283.08	28531239.0	28331149.0	27971318.0	220227.0	23397.0	316297.0	0.47	0.03	1.67	0.02	1.47	6300314.0	11.97	454107.0	0.86	0.0	22.9	0.65	0	12053386	342127
RSQ_134__STARpass1	52633196.0	286.0	33478308.0	63.61	283.54	26760560.0	26092035.0	26315865.0	188633.0	20272.0	235790.0	0.47	0.03	1.68	0.02	1.46	6812812.0	12.94	395054.0	0.75	0.0	21.54	1.16	0	11336513	610509
RSQ_135	54447632.0	291.0	38823379.0	71.3	288.21	36168275.0	35947232.0	35567396.0	274366.0	24654.0	301859.0	0.47	0.02	1.56	0.02	1.32	6758043.0	12.41	426455.0	0.78	0.0	13.65	1.85	0	7432429	1007326
RSQ_135__STARpass1	54447632.0	291.0	39054141.0	71.73	288.54	33831273.0	32842011.0	33345886.0	221438.0	24063.0	239886.0	0.47	0.02	1.56	0.02	1.3	6775383.0	12.44	354525.0	0.65	0.0	14.7	0.48	0	8002284	261299
RSQ_138	47085513.0	296.0	40417675.0	85.84	291.74	22976887.0	22855552.0	22527597.0	217601.0	17801.0	213888.0	0.59	0.02	1.46	0.01	1.28	1903584.0	4.04	31219.0	0.07	0.0	9.61	0.44	0	4525818	207217
RSQ_138__STARpass1	47085513.0	296.0	40689114.0	86.42	291.74	22606057.0	22028691.0	22272364.0	171671.0	17658.0	144364.0	0.59	0.02	1.46	0.01	1.26	1622732.0	3.45	31929.0	0.07	0.0	9.64	0.43	0	4539261	202477
RSQ_141	42233450.0	295.0	34676421.0	82.11	290.99	28658744.0	28541925.0	28173985.0	258186.0	19109.0	207464.0	0.52	0.02	1.72	0.01	1.4	2469344.0	5.85	50321.0	0.12	0.0	11.51	0.42	0	4860022	177342
RSQ_141__STARpass1	42233450.0	295.0	34808522.0	82.42	290.98	28455893.0	27920021.0	28067886.0	211921.0	18493.0	157593.0	0.52	0.02	1.72	0.02	1.38	2359815.0	5.59	49725.0	0.12	0.0	11.5	0.38	0	4854963	160425
RSQ_160b	46960305.0	288.0	38862238.0	82.76	284.57	28593429.0	28399532.0	28139918.0	211625.0	20436.0	221450.0	0.5	0.03	1.49	0.01	1.25	3381990.0	7.2	176977.0	0.38	0.0	8.73	0.94	0	4097864	441236
RSQ_160b__STARpass1	46960305.0	288.0	39186942.0	83.45	284.84	26472489.0	25490960.0	26092285.0	167695.0	20058.0	192451.0	0.5	0.03	1.49	0.02	1.23	3123292.0	6.65	201260.0	0.43	0.0	9.16	0.31	0	4303179	145632
RSQ_169b	42282714.0	295.0	35034061.0	82.86	290.54	25026552.0	24913816.0	24593618.0	237162.0	17306.0	178466.0	0.52	0.02	1.55	0.01	1.32	2106325.0	4.98	41440.0	0.1	0.0	11.83	0.23	0	5003607	97281
RSQ_169b__STARpass1	42282714.0	295.0	35311495.0	83.51	290.52	24644658.0	24027293.0	24315063.0	173902.0	16944.0	138749.0	0.52	0.02	1.55	0.01	1.29	1845509.0	4.36	38017.0	0.09	0.0	11.88	0.15	0	5024255	63438
RSQ_171b	44499476.0	287.0	36651578.0	82.36	283.13	25196258.0	25023892.0	24842744.0	144005.0	19652.0	189857.0	0.46	0.03	1.48	0.01	1.26	3575381.0	8.03	149671.0	0.34	0.0	9.08	0.19	0	4038343	84503
RSQ_171b__STARpass1	44499476.0	287.0	37304527.0	83.83	283.38	22727162.0	21639085.0	22414321.0	127683.0	19277.0	165881.0	0.45	0.03	1.48	0.02	1.2	3015814.0	6.78	139586.0	0.31	0.0	8.84	0.23	0	3937113	102436
RSQ_177	38125062.0	294.0	31525109.0	82.69	286.98	19763823.0	19635434.0	19387612.0	167726.0	13565.0	194920.0	0.51	0.03	1.65	0.02	1.42	2405540.0	6.31	74044.0	0.19	0.0	10.38	0.43	0	3956469	163900
RSQ_177__STARpass1	38125062.0	294.0	31694132.0	83.13	287.01	19481673.0	18900741.0	19186968.0	130611.0	13221.0	150873.0	0.51	0.03	1.65	0.02	1.42	2243663.0	5.89	75302.0	0.2	0.0	10.38	0.41	0	3955718	156247
