gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
Gene23,0.2378179414797419,-0.22982279176970888,0.7054586747291927,13.002726878343744,1.011298713939269,0.31477661231660564,0.7185118324618172,-6.917808594424157,no
Gene43,0.2318208849357024,-0.21081806066956266,0.6744598305409675,13.11549030421387,1.0414780201202476,0.30064093986597124,0.7141989832645824,-6.963203232690337,no
Gene71,0.22862997679568586,-0.17873922458338942,0.6359991781747611,13.137621299627744,1.1160718460605092,0.2675727182655914,0.7141989832645824,-6.941496785675799,no
Gene9,0.22858330639110136,-0.2344977927300726,0.6916644055122754,13.129199525569355,0.9820187807581168,0.3289915916421716,0.7349812153708088,-7.061011281389892,no
Gene37,0.21554782297188346,-0.361701804085086,0.7927974500288529,12.945821469337275,0.7444802997789182,0.459030135153945,0.8539804555110484,-7.093162704280991,no
Gene96,0.21199388043919143,-0.2796956165278007,0.7036833774061835,12.951235340974353,0.8573922730204038,0.39366685032939064,0.8267003856917203,-7.024430210770194,no
Gene45,0.21187743508140322,-0.17153894355493782,0.5952938137177443,13.152368706400882,1.0989077040084019,0.27494686083659353,0.7141989832645824,-6.938188718727324,no
Gene84,0.20536891889010178,-0.17004464284226833,0.580782480622472,13.240972999616172,1.087857303234863,0.2797684696215886,0.7141989832645824,-6.996213032183073,no
Gene75,0.19538422536442646,-0.32932291640958355,0.7200913671384365,12.878041863332426,0.7404908460472128,0.46106628000744765,0.8539804555110484,-7.04770987398091,no
Gene40,0.18863264593028006,-0.39271279046652596,0.7699780823270861,12.839325364628047,0.6452525970266734,0.5205214205019724,0.8539804555110484,-6.979013409099417,no
Gene18,0.17755529301719974,-0.30709620092690826,0.6622067869613077,12.891801525137787,0.7285363737644607,0.4683107880989268,0.8539804555110484,-7.096132550353775,no
Gene7,0.1721675349716314,-0.4082271832812794,0.7525622532245422,12.836191678300766,0.5898953625990964,0.5568437018491195,0.8995167491408853,-7.083438191329568,no
Gene89,0.10162716158177076,-0.44313355467763615,0.6463878778411777,12.865397325140963,0.3709805886181014,0.7115856159267835,0.9231055092848313,-7.281780861504978,no
Gene68,0.1013797984509992,-0.32519304810919386,0.5279526450111922,13.05873620066548,0.4726127009151533,0.6377147205348024,0.9207010199075913,-7.422030133265107,no
Gene41,0.09886668999244641,-0.36610244812175524,0.563835828106648,12.962779552874014,0.4228370542872652,0.6734942560896247,0.9231055092848313,-7.307648673266802,no
