gene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,diffexpressed
ATP5PF,-0.3320142052286261,-0.7103934454202581,0.04636503496300581,6.455675905723445,-1.79341387490289,0.0831811556579065,0.5021882286989987,-4.701491802892054,no
TSC1,-0.3320451686469763,-0.847248100039341,0.18315776274538842,4.428586607897127,-1.3172554402891785,0.19790896365905608,0.6393081776275025,-5.228132961845596,no
SLC35F6,-0.3320454520047351,-1.4564981847542362,0.792407280744766,1.8203102431536682,-0.6035419930135224,0.5507682688411564,0.86008101605469,-5.3615712448517785,no
AFDN,-0.33215337570394254,-0.8060079605487704,0.1417012091408854,5.527112769678723,-1.4326653070914268,0.16248237829934933,0.6119515645256768,-5.204240763036461,no
SULT1B1,-0.33215596693645466,-1.1786695086289212,0.5143575747560118,3.7780354300651204,-0.8055424669048178,0.4276263935180933,0.8040605757026686,-5.677454935604664,no
ADK,-0.33219362161033583,-1.0085706766310811,0.34418343341040936,3.737949701147804,-1.0038147750206348,0.3236437290122932,0.7427369667665281,-5.459587787085398,no
PSMA6,-0.3322756330736176,-0.7496893838979917,0.08513811775075641,4.294497930784753,-1.6269825800641489,0.11439320876348134,0.5501355923848705,-4.8149902060461,no
ZNF770,-0.33228234831425363,-0.8964141678081161,0.23184947117960886,4.515269424565945,-1.2038651301251966,0.23822777012807295,0.6763769175646409,-5.392453887136075,no
SMPD4,-0.33251044163180277,-1.0692031744268133,0.4041822911632079,3.1435488233210283,-0.9225078338021321,0.3637591698326652,0.7719556695144995,-5.432565300382992,no
EIF2S2,-0.33259993234031615,-0.6884722945195709,0.02327242983893868,6.345499753731047,-1.9102009479807578,0.06588731989489505,0.4612169767390854,-4.506157919310767,no
GPAM,-0.3327914436280681,-1.317034960956856,0.6514520737007198,1.9007683707361531,-0.6910679459860105,0.49493375031395637,0.8378455347567435,-5.426629079100835,no
ZNF517,-0.332914237782274,-1.313681765017778,0.64785328945323,1.5236725206125434,-0.6937730920373715,0.4932600915394807,0.8368950290217593,-5.287863636172174,no
ALDH6A1,-0.33301378575268714,-0.9547904837880171,0.28876291228264284,2.854561136837437,-1.0946591987335994,0.2825370785283349,0.7109572178859703,-5.192286556987309,no
LTN1,-0.3331045074791854,-0.9698418655483803,0.30363285059000944,4.163925238442478,-1.069230501320095,0.29365045905474807,0.7184489403941519,-5.490390810404341,no
GMPR,-0.33315053760714264,-1.0751963254449304,0.4088952502306451,6.865167442154865,-0.9235440690312986,0.36434480836453087,0.771995662954468,-5.761347048664498,no
RSL24D1,-0.33322525655100144,-0.8773051775535308,0.2108546644515279,5.42828764057385,-1.2517752861196105,0.22050178594235184,0.6620637602613167,-5.421008684757162,no
IKZF2,-0.3332275240087652,-0.9966238608107436,0.3301688127932132,3.74594733321719,-1.0266418359113958,0.3129469612732514,0.7342370098643507,-5.446101940310539,no
PTPDC1,-0.3332516984113362,-1.2873249870679802,0.6208215902453078,1.6208396817046404,-0.7139072546582131,0.4809038970126941,0.8302690947797566,-5.2934152628473825,no
PXDN,-0.3333557572350274,-1.2441785641713339,0.577467049701279,1.8749390905349923,-0.7480406932440044,0.46036700077901915,0.8188891711399129,-5.308136769640047,no
NALF1,-0.3334967120037966,-1.554440915615129,0.8874474916075359,2.0763665984640958,-0.5582733541235049,0.5808770955489017,0.8676198818886774,-5.370872068210422,no
USP34-DT,-0.3335296653838431,-1.4797940706445425,0.8127347398768563,1.8437910627968015,-0.5962679575982757,0.5558292451293223,0.8610297730148391,-5.490990171715405,no
SERPINH1,-0.3336200747182303,-1.1233204897020894,0.4560803402656288,2.0310310437957195,-0.863457507349555,0.3948628956755562,0.7898419274968994,-5.243276785875079,no
COPE,-0.3337100027415678,-0.7648524665861207,0.09743246110298504,5.492291549166701,-1.5819748908276456,0.12433539889802402,0.5660056810243435,-4.993207923849245,no
ANXA5,-0.334047024189994,-0.7818979072213802,0.11380385884139221,6.419542452220646,-1.5244926441455893,0.13805216845017035,0.587084153701154,-5.103339089132428,no
ENTPD7,-0.3341408097310361,-1.6403884791809304,0.9721068597188582,2.120071742852249,-0.5266142522897019,0.603065097416098,0.8763039407381372,-5.555559604939238,no
CLOCK,-0.3341527496608778,-0.8393662736794837,0.17106077435772804,4.314451425172034,-1.3518273610178553,0.1867210367578947,0.629905640372243,-5.193681882372333,no
IMP4,-0.3343323187237597,-1.133560660157155,0.4648960227096357,3.697051630234334,-0.8549852946129337,0.39946059176831905,0.791887669144046,-5.5354623843181585,no
SIRT6,-0.3343974649025794,-1.323377163032721,0.654582233227562,1.6765755959836155,-0.6910775114289678,0.49492782661046997,0.8378455347567435,-5.302771381328757,no
TBC1D10A,-0.3344823288920866,-1.1258062609582469,0.45684160317407363,2.8234084799798924,-0.8639130589324717,0.3946166339444568,0.7895815614758018,-5.40641361751244,no
AMACR,-0.33451067080782293,-1.282582544060404,0.6135612024447582,0.8996064446826735,-0.721140479911383,0.476508551579802,0.8265071816613704,-5.252173029145271,no
MAPK8,-0.33454040404083596,-0.8470995153749716,0.17801870729329972,4.235393420552472,-1.3339998472684511,0.192427403005841,0.6361061838900227,-5.1935348598232345,no
ZNF830,-0.3346509881272959,-0.8993613874823356,0.23005941122774387,3.590502490056341,-1.2112045314138469,0.23544562153234755,0.674643215522012,-5.218139575527214,no
FPGT,-0.33484318220204745,-0.9840489610137636,0.3143625966096687,2.0810593561059503,-1.0541690089151348,0.30037660131915034,0.7226251381576022,-5.162472114693443,no
PHC1P1,-0.3349034178203134,-1.5436290183104842,0.8738221826698573,0.6867551940279985,-0.5662953819541673,0.575482842426514,0.86700356965125,-5.255016184416256,no
GIGYF1,-0.3349845230848536,-0.8432738879410175,0.17330484177131034,4.332675185301704,-1.3469915775503227,0.18825576735537858,0.6313967370238954,-5.16206293139843,no
FARSB,-0.3350197399614281,-0.8137388560705905,0.14369937614773426,3.9788644701288876,-1.4303449533266857,0.16314158388764274,0.6123575431252734,-5.032998225879037,no
FCF1,-0.33512790494311684,-0.7996801068595245,0.12942429697329078,4.513112853454906,-1.4744404246713598,0.15097222991727646,0.5990249148924263,-5.041670404074329,no
ASCC3,-0.3354454606721964,-0.7326383793861765,0.06174745804178372,5.191677143854354,-1.726122377943239,0.09480263515004306,0.5208188692202174,-4.757280528045895,no
PHYKPL,-0.3354692558012422,-0.9163838271083877,0.24544531550590332,3.8597714945973216,-1.1802978495173106,0.24732630034661765,0.68778181944112,-5.272304595229921,no
KBTBD11,-0.33554621973197296,-1.0569546291743266,0.38586218971038055,3.2966501121086953,-0.9506536294783082,0.34951628175550065,0.7615204239917687,-5.367338908337418,no
LIPH,-0.33571138752255436,-1.4369259022881105,0.7655031272430017,4.523580700045996,-0.6288574007944426,0.5353234017479312,0.8555480882490972,-5.88240158553464,no
PEX2,-0.33575848874879943,-1.2106377320203454,0.5391207545227464,3.224113698742648,-0.7847173357875434,0.43894690391691316,0.8083591029140027,-5.53386858516502,no
ASTE1,-0.3357616999732729,-1.2855653811052359,0.6140419811586902,1.9921593076303603,-0.7225176611417579,0.4756743225699963,0.8261322127489035,-5.430139879182239,no
URB1,-0.3362461529594152,-1.2118390515970097,0.5393467456781792,2.822198544760998,-0.7848854067028018,0.4387884995016901,0.8083591029140027,-5.4191325403282695,no
SLC35C1,-0.3363923072709145,-1.063623936424066,0.390839321882237,2.3804369816670903,-0.945419285622044,0.35213652857136957,0.7646777152593409,-5.30337474477951,no
GHDC,-0.33645034016394293,-1.1537817715119116,0.48088109118402567,1.841898689390602,-0.8413446394626996,0.4069339222673479,0.7942865234164862,-5.19419208296787,no
LILRB2,-0.33656590877077175,-0.9441542702673327,0.2710224527257892,4.08312603745786,-1.1321705089879814,0.26669590069060334,0.7000744498527981,-5.355990622668811,no
PDC-AS1,-0.3367370306573383,-1.5561078151372951,0.8826337538226185,1.2825412714014433,-0.564425015297258,0.5767383063255251,0.8675043183446338,-5.311236646709015,no
PLCD3,-0.3367751184856389,-1.548962619736201,0.8754123827649232,1.7575613981659846,-0.5690095416918173,0.5738706560406874,0.8668711731273231,-5.444098172568806,no
C4orf33,-0.33680325551764856,-1.0821463450606612,0.408539834025364,2.314195855916031,-0.9235729661803634,0.3632133099684627,0.7715801028553446,-5.289049989606177,no
AVEN,-0.33693450088515675,-0.9497974555976656,0.2759284538273521,3.1691024758445296,-1.1236557372298115,0.270234190230471,0.7020610496398973,-5.2259840058144285,no
ZRANB3,-0.3370145259330175,-1.0080983087071163,0.33406925684108113,2.8272845595525906,-1.0264151107205957,0.31305198763034603,0.7342370098643507,-5.280311871968802,no
PRR14L,-0.33703584178634305,-0.7826004319036577,0.10852874833097165,5.6903799836639966,-1.5460252387631115,0.13277655249756443,0.5776759754753734,-5.054566764216575,no
