Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
PP046_sorted_q10_mrkDup	9470708	9470708											75.16407432263776	3559285
PP046_sorted_q10_rmDup	1654548	1654548											70.0002659336568	579094
PP047	52513975	52513975	44.76	14846815.0										
PP047_R1					75.0716535668526	48.0	96.2570309863007	18.181818181818183	33169884.0					
PP047_R2					67.0755567332601	49.0	96.21841607887444	45.45454545454545	33169884.0					
PP047_libComplexityPicard										0.639603				
PP047_sorted											197	268.22561		
PP047_sorted_q10	29689790	29689790								0.799105				
PP047_sorted_q10_mrkDup	29689790	29689790											87.49610556356242	12988705
PP047_sorted_q10_rmDup	5964522	5964522											84.73426705442616	2526997
PP048	46841653	46841653	26.65	9135400.0										
PP048_R1					76.55569814712813	49.0	95.78873245352638	18.181818181818183	34282672.0					
PP048_R2					69.26822566105281	51.0	95.71649648545481	45.45454545454545	34282672.0					
PP048_libComplexityPicard										0.707892				
PP048_sorted											165	225.271641		
PP048_sorted_q10	18268442	18268442								0.827717				
PP048_sorted_q10_mrkDup	18268442	18268442											73.30060220789491	6695439
PP048_sorted_q10_rmDup	3147336	3147336											67.80763159700776	1067067
PP049	56745591	56745591	27.15	10674236.0										
PP049_R1					88.24626872455678	44.0	93.91294419166726	45.45454545454545	39316136.0					
PP049_R2					86.14400587754783	46.0	93.83858556191788	45.45454545454545	39316136.0					
PP049_libComplexityPicard										0.885271				
PP049_sorted											184	301.276609		
PP049_sorted_q10	21345364	21345364								0.950336				
PP049_sorted_q10_mrkDup	21345364	21345364											82.94257244805007	8852197
PP049_sorted_q10_rmDup	1060096	1060096											72.47985088142961	384178
PP050	43207172	43207172	12.79	5475655.0										
PP050_R1					79.82822768281697	49.0	94.96931842572593	36.36363636363637	42797478.0					
PP050_R2					76.83828975101062	50.0	94.86838439405238	45.45454545454545	42797478.0					
PP050_libComplexityPicard										0.783284				
PP050_sorted											147	218.392062		
PP050_sorted_q10	10948686	10948686								0.879866				
PP050_sorted_q10_mrkDup	10948686	10948686											79.13446417223035	4332092
PP050_sorted_q10_rmDup	1315312	1315312											73.85867383556145	485736
PP055	60072950	60072950	44.46	16488253.0										
PP055_R1					80.50193098954526	50.0	96.5431685654997	36.36363636363637	37083917.0					
PP055_R2					76.66560334157104	51.0	96.50921541001183	36.36363636363637	37083917.0					
PP055_libComplexityPicard										0.745993				
PP055_sorted											175	232.19547100000003		
PP055_sorted_q10	32972524	32972524								0.873929				
PP055_sorted_q10_mrkDup	32972524	32972524											84.07842238586285	13861389
PP055_sorted_q10_rmDup	4156894	4156894											82.09591103357458	1706320
PP058	34511730	34511730	15.85	6162687.0										
PP058_R1					80.01817691825784	50.0	96.71034246414162	27.27272727272727	38882465.0					
PP058_R2					76.8141005327523	51.0	96.57339420224515	45.45454545454545	38882465.0					
PP058_libComplexityPicard										0.738572				
PP058_sorted											172	244.526005		
PP058_sorted_q10	12323396	12323396								0.848699				
PP058_sorted_q10_mrkDup	12323396	12323396											80.9982410692637	4990867
PP058_sorted_q10_rmDup	1864546	1864546											81.04342826618384	755546
PP060	31109928	31109928	13.83	5412760.0										
PP060_R1					74.77533175114698	49.0	94.36576889552425	27.27272727272727	39150475.0					
PP060_R2					70.96548156736812	50.0	94.28880477184504	45.45454545454545	39150475.0					
PP060_libComplexityPicard										0.69339				
PP060_sorted											153	198.000248		
PP060_sorted_q10	10823396	10823396								0.814316				
PP060_sorted_q10_mrkDup	10823396	10823396											65.48741263832535	3543981
PP060_sorted_q10_rmDup	2009728	2009728											57.26237580408892	575409
PP061	62202569	62202569	34.94	13972669.0										
PP061_R1					80.65359724078385	49.0	97.02336632512646	27.27272727272727	39992168.0					
PP061_R2					76.6264080878657	50.0	96.94092898389505	45.45454545454545	39992168.0					
PP061_libComplexityPicard										0.734072				
PP061_sorted											180	244.29444099999998		
PP061_sorted_q10	27941984	27941984								0.848952				
PP061_sorted_q10_mrkDup	27941984	27941984											73.85205717675595	10317865
PP061_sorted_q10_rmDup	4220592	4220592											67.47162483367262	1423851
PP062	87191727	87191727	59.57	23169571.0										
PP062_R1					87.19489562094788	46.0	97.43679906141679	27.27272727272727	38894367.0					
PP062_R2					83.99134439782961	48.0	97.40771911778381	45.45454545454545	38894367.0					
PP062_libComplexityPicard										0.838256				
PP062_sorted											186	264.837592		
PP062_sorted_q10	46333398	46333398								0.925799				
PP062_sorted_q10_mrkDup	46333398	46333398											84.08190135331753	19479001
PP062_sorted_q10_rmDup	3437970	3437970											80.57563038653625	1385083
PP073	45373512	45373512	5.97	2739144.0										
PP073_R1					73.93570478423209	49.0	93.68859941415919	27.27272727272727	45902913.0					
PP073_R2					72.46709825788736	50.0	93.61315038982384	36.36363636363637	45902913.0					
PP073_libComplexityPicard										0.663156				
PP073_sorted											93	121.148872		
PP073_sorted_q10	5476970	5476970								0.792939				
PP073_sorted_q10_mrkDup	5476970	5476970											67.83181211509284	1857564
PP073_sorted_q10_rmDup	1134066	1134066											65.94818996425252	373948
PP074	31430542	31430542	17.03	6159650.0										
PP074_R1					70.42792245461452	48.0	95.38185468365695	18.181818181818183	36163558.0					
PP074_R2					69.67837559270818	50.0	95.3117844765164	36.36363636363637	36163558.0					
PP074_libComplexityPicard										0.555672				
PP074_sorted											155	203.351826		
PP074_sorted_q10	12317810	12317810								0.750116				
PP074_sorted_q10_mrkDup	12317810	12317810											86.41787785328722	5322395
PP074_sorted_q10_rmDup	3078020	3078020											83.67755895023424	1287806
PP075	44783452	44783452	17.79	5956777.0										
PP075_R1					72.41313502198426	50.0	90.99949832178754	18.181818181818183	33491588.0					
PP075_R2					71.07072757659162	51.0	91.00657920430646	36.36363636363637	33491588.0					
PP075_libComplexityPicard										0.693511				
PP075_sorted											121	148.693253		
PP075_sorted_q10	11911180	11911180								0.835806				
PP075_sorted_q10_mrkDup	11911180	11911180											78.3372596165955	4665446
PP075_sorted_q10_rmDup	1955746	1955746											72.36675928264714	707655
PP078	91738060	91738060	40.28	15419008.0										
PP078_R1					50.72145772204674	48.0	95.56120290135772	27.27272727272727	38279182.0					
PP078_R2					26.942913130759976	50.0	95.53345800336068	27.27272727272727	38279182.0					
PP078_libComplexityPicard										0.60724				
PP078_sorted											147	195.670056		
PP078_sorted_q10	30834082	30834082								0.771248				
PP078_sorted_q10_mrkDup	30834082	30834082											81.00300829452293	12488267
PP078_sorted_q10_rmDup	7053356	7053356											79.7563599512062	2812750
PP084	264583584	264583584	19.35	11692082.0										
PP084_R1					81.99296418968585	34.0	92.7881343545788	36.36363636363637	60420211.0					
PP084_R2					56.89766713838216	35.0	92.81697198972046	36.36363636363637	60420211.0					
PP084_sorted											90	104.427368		
PP084_sorted_q10	23381450	23381450								0.795243				
PP084_sorted_q10_mrkDup	23381450	23381450											37.410357355938146	4373542
PP084_sorted_q10_rmDup	4787504	4787504											31.55539922264295	755358
PP087	16667126	16667126	8.08	2989132.0										
PP087_R1					70.36839433819823	50.0	95.24958731303833	27.27272727272727	37005046.0					
PP087_R2					31.509730954509735	51.0	95.13300261807538	18.181818181818183	37005046.0					
PP087_libComplexityPicard										0.533144				
PP087_sorted											147	183.205871		
PP087_sorted_q10	5977384	5977384								0.675433				
PP087_sorted_q10_mrkDup	5977384	5977384											72.37306487252617	2163008
PP087_sorted_q10_rmDup	1940060	1940060											67.8933641227591	658586
